glycan,concentration,unit,ID,species,day,ref
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.13,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.06,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.07,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.52,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.14,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.33,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.3,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.16,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.25,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.09,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.15,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.07,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.06,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)[Fuc(a1-3)]Glc-ol,0.05,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.09,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.12,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
Gal(b1-3)GlcNAc(b1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0,relative_percent,human_d30_jin2022,Homo_sapiens,30,https://pubmed.ncbi.nlm.nih.gov/36278935/
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)]Gal(b1-4)Glc-ol,0.17,relative_percent,human_d3_jin2022,Homo_sapiens,3,https://pubmed.ncbi.nlm.nih.gov/36278935/
