glycan,human1_d_wang2023,human2_d_wang2023,human_d120_wang2022,human_d150_wang2022,human_d15_wang2022,human_d180_wang2022,human_d210_wang2022,human_d240_wang2022,human_d304_wang2022,human_d304_wang2023,human_d304_wang2024,human_d304_wang2025,human_d304_wang2026,human_d304_wang2027,human_d304_wang2028,human_d304_wang2029,human_d304_wang2030,human_d304_wang2031,human_d304_wang2032,human_d30_wang2022,human_d30_wang2023,human_d30_wang2024,human_d30_wang2025,human_d30_wang2026,human_d30_wang2027,human_d30_wang2028,human_d30_wang2029,human_d30_wang2030,human_d30_wang2031,human_d30_wang2032,human_d45_yamaguchi2024,human_d60_wang2022,human_d7_wang2022,human_d90_wang2022
Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,14.14538462,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312,,,
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,9.392857143,11.51142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neu5Ac(a2-3)[Neu5Ac(a2-6)]Gal(b1-4)Glc1Cer,7.615,20.4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,22.608,18.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neu5Ac(a2-8)Neu5Ac(a2-3)[Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc1Cer,31.93333333,41.96777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,12.5775,13.11625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc1Cer,17.34166667,13.71166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,8.608,10.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,22.13693714,15.88857174,27.71716883,16.88312074,23.06977346,10.99397651,,,,,,,,,,,,,,,,,,,,,,23.38592686,,27.13273038,45.91349084,30.98953444
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,1.713613018,1.785473656,2.989511671,2.002533952,1.770116112,1.595311011,,,,,2.345680762,,,,,,,,,,,,,,,,,,,2.117656645,1.873103643,0.927787423
